id,abany,abdefctw,abdefect,abhlth,abnomore,abpoor,abpoorw,abrape,age,anydoc,attend,born,childs,class,cohort,condom,conmedic,consci,degree,doc1,doc10,doc11,doc12,doc13,doc14,doc15,doc16,doc17,doc18,doc19,doc2,doc20,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doclist,docsui,educ,fund,fund16,godoc,harmgood,health,hlthinsr,hmo1,hmo2,hmo3,hmo4,hmo5,hmo6,hmo7,hospice,income98,knwnproz,letdie1,marital,natdrug,natdrugy,natheal,nathealy,notreat,nummen,numwomen,painmed,partners,partnrs5,partyid,polviews,proz1,proz2,proz3,proz4,proz5,proz6,proz7,proz8,proz9,prozac,prozfor1,prozfor2,prozfor3,prozkid1,prozkid2,prozkid3,prozslf1,prozslf2,prozslf3,prozslf4,psycdrct,psycfdoc,psyckid1,psyckid2,psyckid3,psycmed1,psycmed2,psycmed3,psycmed4,psycmed5,psycmed6,psycmed7,psycpsyc,pubagncy,race,reg16,region,relatsex,relig,relig16,religid,religkid,reliten,res16,rightref,rincom98,sei,sex,sexfreq,sexsex,sexsex5,size,srcbelt,stress,suicide1,suicide2,suicide3,suicide4,termecon,termemot,terminal,termpain,termpay,termrel,termvig,testdrug,trustsci,usedmntl,usedproz,usepsyc1,usepsyc2,usepsyc3,usepsyc4,useskill,wordsum,wrkstat,xnorcsiz,woman,region4
446,,not wrong at all,,,,,dk,,56,,2-3x a month,yes,2,working class,1942,used last time,only some,only some,high school,,,,,,,,,,,,,,,,,,,,,,,15,moderate,fundamentalist,yes,strongly agree,good,,,,,,,,,,$35000 to 39999,,yes,divorced,,too little,,too little,,5,0,,1 partner,2 partners,not str democrat,liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,e  nor central,pacific,"yes, in relationship",protestant,protestant,liberal,,not very strong,city gt 250000,,$35000 to 39999,69.199997,female,once or twice,exclusively male,exclusively male,227,12 lrgst smsa's,,no,no,no,no,,,,,,,,,not agree/dsagre,,,,,,,,0,working fulltime,"city,50-250000",Woman,West
447,no,always wrong,yes,yes,no,no,always wrong,no,73,,more thn once wk,yes,3,upper class,1925,,,,lt high school,,,,,,,,,,,,,,,,,,,,,,,7,fundamentalist,fundamentalist,yes,disagree,excellent,,,,,,,,,,$1 000 to 2 999,,no,widowed,,too little,,too much,,,0,,no partners,no partners,not str republican,conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,e  sou central,pacific,,protestant,protestant,,protestant,strong,50000 to 250000,,$1 000 to 2 999,23.299999,female,not at all,,,227,12 lrgst smsa's,,no,no,no,no,,,,,,,,,strongly agree,,,,,,,,0,working parttime,"city,50-250000",Woman,West
448,no,,yes,yes,no,no,,no,25,yes,lt once a year,yes,0,working class,1973,used last time,only some,only some,bachelor,uncertain,uncertain,disagree,agree,agree,agree,disagree,agree,agree,agree,uncertain,agree,agree,agree,disagree,agree,disagree,disagree,agree,disagree,yes,strong disagree,17,moderate,moderate,,,good,yes covered,disagree,agree,not agree/dsagre,agree,agree,agree,agree,agree,$30000 to 34999,no,,never married,too little,,too little,,agree,1,0,agree,1 partner,1 partner,not str democrat,liberal,agree,disagree,not agree/dsagre,agree,agree,agree,agree,disagree,agree,yes,2,,,very unlikely,very unlikely,very unlikely,strong disagree,strong disagree,disagree,agree,somewhat likely,somewhat likely,very unlikely,very unlikely,very unlikely,not agree/dsagre,disagree,agree,agree,agree,agree,agree,somewhat likely,,other,pacific,pacific,"yes, in relationship",catholic,catholic,,,not very strong,town lt 50000,agree,$30000 to 34999,78.5,female,weekly,exclusively male,exclusively male,227,12 lrgst smsa's,often,,,,,agree,agree,yes immed reltve,not agree/dsagre,agree,not agree/dsagre,vignette e,agree,,no,no,very unlikely,very unlikely,somewht unlikely,somewhat likely,a little,7,working fulltime,"city,50-250000",Woman,West
449,no,always wrong,no,no,no,no,always wrong,no,21,,once a month,yes,0,upper class,1977,not used,,,high school,,,,,,,,,,,,,,,,,,,,,,,12,moderate,moderate,yes,neither agree nor disagree,excellent,,,,,,,,,,$75000 to $89999,,no,never married,dk,,about right,,,0,2,,1 partner,4 partners,"ind,near rep",conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,pacific,pacific,"yes, in relationship",catholic,catholic,,catholic,not very strong,50000 to 250000,,$22500 to 24999,59.299999,male,weekly,exclusively female,exclusively female,88,"suburb, 12 lrgst",,no,no,no,no,,,,,,,,,not agree/dsagre,,,,,,,,0,working fulltime,"suburb, med city",Man,West
450,,always wrong,,,,,always wrong,,43,,once a month,no,3,lower class,1955,not used,,,high school,,,,,,,,,,,,,,,,,,,,,,,12,moderate,moderate,no,disagree,fair,,,,,,,,,,$25000 to 29999,,no,divorced,,too little,,too little,,0,20,,3 partners,5-10 partners,not str democrat,slightly liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,pacific,pacific,"yes, in relationship",catholic,catholic,,catholic,not very strong,town lt 50000,,$25000 to 29999,37.400002,male,2-3 per week,exclusively female,exclusively female,88,"suburb, 12 lrgst",,no,no,no,no,,,,,,,,,disagree,,,,,,,,0,temp not working,"suburb, med city",Man,West
451,yes,,yes,yes,no,yes,,yes,19,no,once a month,yes,1,working class,1979,not used,a great deal,a great deal,high school,strongly agree,strongly agree,uncertain,strongly agree,strongly agree,strongly agree,agree,agree,strongly agree,strongly agree,uncertain,disagree,strongly agree,uncertain,strong disagree,disagree,disagree,disagree,disagree,agree,yes,strong disagree,12,,moderate,,,fair,yes covered,disagree,not agree/dsagre,agree,not agree/dsagre,agree,disagree,agree,stongly agree,$8 000 to 9 999,yes,,never married,,too much,,about right,agree,1,0,disagree,1 partner,1 partner,"ind,near dem",slightly liberal,agree,strongly agree,strongly agree,strong disagree,strong disagree,strong disagree,strong disagree,strong disagree,agree,yes,2,,,very unlikely,very unlikely,very unlikely,strong disagree,strong disagree,disagree,not agree/dsagre,somewhat likely,somewhat likely,very unlikely,very unlikely,mixed,agree,agree,agree,disagree,disagree,agree,disagree,very likely,no,other,pacific,pacific,"yes, in relationship",protestant,catholic,,,not very strong,50000 to 250000,agree,,,female,2-3 per week,exclusively male,exclusively male,88,"suburb, 12 lrgst",,,,,,stongly agree,stongly agree,yes immed reltve,not agree/dsagre,stongly agree,agree,vignette f,1,,no,no,somewhat likely,somewht unlikely,mixed,very likely,,4,school,"suburb, med city",Woman,West
452,yes,,yes,yes,yes,yes,,yes,35,know know,lt once a year,yes,0,middle class,1963,not used,,,high school,uncertain,disagree,uncertain,uncertain,uncertain,uncertain,,,,,,agree,,uncertain,disagree,agree,uncertain,disagree,disagree,disagree,yes,agree,14,liberal,moderate,,,good,yes covered,disagree,agree,agree,agree,not agree/dsagre,agree,agree,agree,$60000 to 74999,yes,,married,about right,,too little,,agree,8,0,agree,1 partner,1 partner,not str republican,moderate,cant choose,cant choose,,,,,,,,yes,6,2,,,,,,,,,somewhat likely,dont know,dont know,dont know,dont know,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,dont know,,white,pacific,pacific,"yes, in relationship",none,catholic,,,no religion,50000 to 250000,agree,$40000 to 49999,63.5,female,2-3 times a month,exclusively male,exclusively male,63,"suburb, 13-100",often,,,,,disagree,agree,no,agree,stongly agree,dont know,vignette e,strong disagree,,no,no,very unlikely,very unlikely,mixed,somewhat likely,almost all,5,working fulltime,"suburb, med city",Woman,West
453,,,,,,,,,51,yes,sevrl times a yr,yes,0,middle class,1947,not used,a great deal,a great deal,bachelor,agree,uncertain,agree,agree,strongly agree,disagree,strong disagree,agree,disagree,agree,agree,disagree,,uncertain,disagree,disagree,strong disagree,disagree,agree,disagree,yes,agree,16,,liberal,,,good,yes covered,disagree,strongly agree,not agree/dsagre,strongly agree,strongly agree,strongly agree,strongly agree,stongly agree,$60000 to 74999,yes,yes,never married,about right,,too little,,agree,10,0,agree,1 partner,2 partners,not str democrat,liberal,agree,agree,agree,not agree/dsagre,not agree/dsagre,agree,agree,strong disagree,strongly agree,yes,2,9,,somewht unlikely,very unlikely,somewhat likely,strong disagree,strong disagree,strong disagree,not agree/dsagre,somewhat likely,somewht unlikely,somewhat likely,mixed,very likely,disagree,agree,agree,not agree/dsagre,agree,agree,not agree/dsagre,somewhat likely,,white,e  nor central,pacific,"yes, in relationship",buddhism,protestant,,,strong,town lt 50000,stongly agree,$60000 to 74999,63.5,female,2-3 per week,exclusively male,exclusively male,63,"suburb, 13-100",often,yes,no,no,no,stongly agree,agree,yes immed reltve,agree,strong disagree,agree,vignette c,1,,no,no,very unlikely,somewht unlikely,very unlikely,somewhat likely,almost all,8,working fulltime,"suburb, med city",Woman,West
454,,always wrong,,,,,always wrong,,42,,more thn once wk,no,2,working class,1956,not used,only some,only some,bachelor,,,,,,,,,,,,,,,,,,,,,,,16,fundamentalist,moderate,no,disagree,good,,,,,,,,,,$35000 to 39999,,no,married,too much,,too little,,,0,5,,1 partner,1 partner,not str democrat,slightly liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,foreign,pacific,"yes, in relationship",protestant,catholic,evangelical,catholic,strong,town lt 50000,,$35000 to 39999,51,male,2-3 per week,exclusively female,exclusively female,63,"suburb, 13-100",,yes,no,no,no,,,,,,,,,agree,,,,,,,,0,working fulltime,"suburb, med city",Man,West
455,yes,not wrong at all,yes,yes,yes,yes,not wrong at all,yes,28,,sevrl times a yr,yes,1,middle class,1970,used last time,hardly any,hardly any,high school,,,,,,,,,,,,,,,,,,,,,,,14,,,no,agree,excellent,,,,,,,,,,$25000 to 29999,,,never married,too little,,too little,,,2,0,,2 partners,2 partners,not str republican,slightly liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,pacific,pacific,"yes, in relationship",chrsitian,chrsitian,,no religion,somewhat strong,city gt 250000,,$25000 to 29999,25.5,female,once a month,exclusively male,exclusively male,63,"suburb, 13-100",,,,,,,,,,,,,,agree,,,,,,,,0,,"suburb, med city",Woman,West
456,yes,not wrong at all,yes,yes,yes,yes,not wrong at all,yes,50,,nrly every week,yes,1,middle class,1948,not used,only some,only some,bachelor,,,,,,,,,,,,,,,,,,,,,,,16,liberal,liberal,no,disagree,good,,,,,,,,,,$75000 to $89999,,,married,too little,,too little,,,0,6,,1 partner,1 partner,"ind,near rep",moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,middle atlantic,pacific,"yes, in relationship",protestant,protestant,mainline,protestant,strong,town lt 50000,,$75000 - $89999,63.5,male,2-3 times a month,exclusively female,exclusively female,100,"suburb, 13-100",,,,,,,,,,,,,,agree,,,,,,,,0,working fulltime,"suburb, med city",Man,West
457,,,,,,,,,,,never,no,2,lower class,,,a great deal,only some,bachelor,,,,,,,,,,,,,,,,,,,,,,,17,liberal,,no,,fair,,,,,,,,,,,,yes,married,dk,,too little,,,0,0,,no partners,no partners,"ind,near dem",moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,foreign,pacific,,none,moslem/islam,,,no religion,town lt 50000,,,63.5,male,not at all,,,100,"suburb, 13-100",,yes,no,no,no,,,,,,,,,,,,,,,,,0,"unempl, laid off","suburb, med city",Man,West
458,yes,,yes,yes,yes,yes,,yes,67,yes,never,yes,1,working class,1931,not used,only some,only some,high school,disagree,agree,strongly agree,strong disagree,strong disagree,strong disagree,strong disagree,strongly agree,strong disagree,strongly agree,strongly agree,strongly agree,strongly agree,disagree,agree,agree,strong disagree,disagree,disagree,disagree,no,stongly agree,13,moderate,moderate,,,good,yes covered,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,,$10000 to 12499,yes,,divorced,too little,,too little,,,18,0,,no partners,no partners,not str democrat,conservative,cant choose,agree,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,yes,7,,,dk,dk,dk,strong disagree,strong disagree,strong disagree,strong disagree,somewht unlikely,very likely,dont know,dont know,dont know,dont know,strongly agree,strong disagree,strongly agree,strongly agree,strongly agree,strongly agree,somewht unlikely,,white,e  nor central,pacific,"yes, in relationship",protestant,protestant,,,not very strong,city gt 250000,,$10000 to 12499,53.700001,female,not at all,,,100,"suburb, 13-100",sometimes,,,,,strong disagree,strong disagree,yes myself,stongly agree,strong disagree,disagree,vignette e,agree,,no,no,somewht unlikely,very unlikely,very unlikely,very unlikely,a lot,6,working fulltime,"suburb, med city",Woman,West
459,no,,yes,yes,dk,dk,,yes,40,,2-3x a month,yes,0,middle class,1958,used last time,,,bachelor,disagree,uncertain,agree,uncertain,disagree,disagree,disagree,agree,uncertain,agree,agree,agree,uncertain,uncertain,disagree,uncertain,disagree,uncertain,uncertain,disagree,,disagree,19,moderate,moderate,,,good,no not covered,agree,not agree/dsagre,agree,disagree,not agree/dsagre,disagree,not agree/dsagre,not agree/dsagre,$60000 to 74999,no,yes,divorced,too little,,too little,,agree,0,40,disagree,4 partners,11-20 partners,independent,moderate,not agree/dsagre,agree,agree,agree,not agree/dsagre,agree,not agree/dsagre,disagree,agree,yes,19,7,2,somewht unlikely,somewht unlikely,somewht unlikely,disagree,disagree,disagree,disagree,somewhat likely,mixed,somewhat likely,mixed,somewhat likely,disagree,agree,not agree/dsagre,agree,not agree/dsagre,agree,not agree/dsagre,mixed,no,white,middle atlantic,pacific,"yes, in relationship",catholic,catholic,,,strong,farm,agree,$60000 to 74999,82.699997,male,2-3 per week,exclusively female,exclusively female,100,"suburb, 13-100",,yes,yes,no,no,not agree/dsagre,agree,no,not agree/dsagre,agree,agree,vignette a,1,,,no,somewhat likely,somewhat likely,somewhat likely,mixed,,5,keeping house,"suburb, med city",Man,West
460,no,,yes,yes,no,dk,,yes,32,,never,yes,0,working class,1966,,,,high school,,,,,,,,,,,,,,,,,,,,,,,12,liberal,liberal,no,,good,,,,,,,,,,$40000 to 49999,,yes,never married,,too little,,too little,,0,0,,no partners,no partners,not str democrat,slightly liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,pacific,pacific,,none,none,,,no religion,50000 to 250000,,$35000 to 39999,50.5,male,not at all,,,100,"suburb, 13-100",,yes,yes,no,yes,,,,,,,,,,,,,,,,,0,working fulltime,"suburb, med city",Man,West
461,yes,not wrong at all,yes,yes,yes,yes,not wrong at all,yes,23,,never,yes,0,working class,1975,not used,a great deal,only some,bachelor,,,,,,,,,,,,,,,,,,,,,,,16,moderate,moderate,no,disagree,excellent,,,,,,,,,,$7 000 to 7 999,,,never married,,too little,,too little,,7,0,,1 partner,5-10 partners,not str democrat,liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,w  nor central,pacific,"yes, in relationship",catholic,catholic,,catholic,not very strong,"country,nonfarm",,,78.5,female,4+ per week,exclusively male,exclusively male,100,"suburb, 13-100",,,,,,,,,,,,,,disagree,,,,,,,,0,working fulltime,"suburb, med city",Woman,West
462,,,,,,,,,42,yes,every week,yes,2,middle class,1956,not used,only some,hardly any,junior college,agree,disagree,agree,disagree,disagree,disagree,uncertain,agree,disagree,agree,agree,agree,agree,agree,disagree,agree,disagree,disagree,disagree,disagree,yes,not agree/dsagre,14,moderate,moderate,,,excellent,yes covered,disagree,agree,agree,agree,agree,agree,agree,agree,$90000 - $109999,no,yes,married,too much,,too much,,not agree/dsagre,0,1,agree,1 partner,1 partner,strong republican,conservative,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,yes,2,,,very unlikely,very unlikely,very unlikely,strong disagree,strong disagree,strong disagree,strong disagree,somewhat likely,somewht unlikely,very unlikely,very unlikely,very unlikely,not agree/dsagre,disagree,disagree,agree,agree,agree,agree,mixed,,white,pacific,pacific,"yes, in relationship",catholic,catholic,,,strong,city gt 250000,agree,$60000 to 74999,34.200001,male,weekly,exclusively female,exclusively female,100,"suburb, 13-100",always,yes,no,no,no,agree,agree,yes friend,not agree/dsagre,agree,agree,vignette c,1,,no,no,very unlikely,very unlikely,very unlikely,very unlikely,almost all,7,working fulltime,"suburb, med city",Man,West
463,,,,,,,,,23,yes,once a month,yes,0,middle class,1975,used last time,a great deal,a great deal,high school,agree,strong disagree,agree,agree,agree,strongly agree,strongly agree,strong disagree,uncertain,disagree,disagree,uncertain,strong disagree,agree,disagree,disagree,disagree,strong disagree,agree,uncertain,yes,strong disagree,12,moderate,moderate,,,good,yes covered,strongly agree,strongly agree,strongly agree,not agree/dsagre,not agree/dsagre,strongly agree,strongly agree,not agree/dsagre,$40000 to 49999,yes,yes,never married,,too little,,too little,strong disagree,,5,disagree,2 partners,4 partners,independent,moderate,strongly agree,strongly agree,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,strongly agree,yes,1,,,very unlikely,very unlikely,very unlikely,strong disagree,strong disagree,strong disagree,strong disagree,very unlikely,mixed,very unlikely,very unlikely,very unlikely,not agree/dsagre,strongly agree,not agree/dsagre,agree,not agree/dsagre,agree,not agree/dsagre,very likely,,white,pacific,pacific,"no, no relationship",catholic,catholic,,,not very strong,city gt 250000,stongly agree,$40000 to 49999,73.300003,male,once a month,exclusively female,exclusively female,100,"suburb, 13-100",always,yes,no,no,yes,not agree/dsagre,not agree/dsagre,yes immed reltve,agree,strong disagree,disagree,vignette d,1,,no,no,very unlikely,very unlikely,very unlikely,very unlikely,cant choose,6,working fulltime,"suburb, med city",Man,West
464,yes,,yes,yes,yes,yes,,yes,36,yes,sevrl times a yr,yes,2,middle class,1962,not used,,,junior college,disagree,disagree,strongly agree,strong disagree,uncertain,strongly agree,disagree,agree,uncertain,agree,uncertain,agree,disagree,agree,disagree,strongly agree,strong disagree,disagree,agree,agree,no,agree,14,,moderate,,,excellent,yes covered,strong disagree,strongly agree,strong disagree,strongly agree,strongly agree,strongly agree,strongly agree,stongly agree,$110000 or over,yes,yes,married,,too little,,about right,disagree,6,0,agree,1 partner,1 partner,not str republican,slightly liberal,not agree/dsagre,not agree/dsagre,disagree,agree,agree,agree,agree,disagree,not agree/dsagre,yes,3,,,very unlikely,very unlikely,somewhat likely,strong disagree,not agree/dsagre,not agree/dsagre,agree,somewht unlikely,somewht unlikely,very unlikely,very unlikely,mixed,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,not agree/dsagre,agree,very likely,,white,pacific,pacific,"yes, in relationship",inter-nondenominational,catholic,,,strong,town lt 50000,stongly agree,$15000 to 17499,50.700001,female,weekly,exclusively male,exclusively male,100,"suburb, 13-100",sometimes,yes,yes,yes,yes,strong disagree,agree,yes othr relatve,agree,stongly agree,stongly agree,vignette b,1,,no,no,very unlikely,very unlikely,somewht unlikely,mixed,a lot,7,working parttime,"suburb, med city",Woman,West
465,no,always wrong,no,yes,no,no,always wrong,no,40,,every week,no,2,working class,1958,not used,only some,only some,high school,,,,,,,,,,,,,,,,,,,,,,,12,liberal,moderate,yes,strongly agree,poor,,,,,,,,,,$22500 to 24999,,,separated,too much,,too much,,,0,0,,no partners,1 partner,independent,liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,foreign,middle atlantic,"yes, in relationship",none,catholic,,other -specify,no religion,"country,nonfarm",,$22500 to 24999,21.200001,male,not at all,,exclusively female,7323,12 lrgst smsa's,,,,,,,,,,,,,,strongly agree,,,,,,,,0,working fulltime,city gt 250000,Man,Northeast
466,no,always wrong,no,yes,no,no,dk,no,29,,once a year,yes,0,working class,1969,used last time,,,high school,,,,,,,,,,,,,,,,,,,,,,,14,moderate,moderate,no,agree,fair,,,,,,,,,,$15000 to 17499,,yes,never married,,about right,,too much,,,,,no partners,3 partners,not str democrat,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,middle atlantic,middle atlantic,"no, no relationship",catholic,catholic,,catholic,not very strong,city gt 250000,,$15000 to 17499,62.5,male,not at all,,exclusively female,7323,12 lrgst smsa's,,no,no,no,no,,,,,,,,,strongly agree,,,,,,,,0,working fulltime,city gt 250000,Man,Northeast
467,,always wrong,,,,,always wrong,,40,,sevrl times a yr,yes,2,working class,1958,not used,a great deal,,high school,,,,,,,,,,,,,,,,,,,,,,,12,moderate,moderate,no,disagree,fair,,,,,,,,,,$20000 to 22499,,yes,separated,too little,,about right,,,2,,,1 partner,1 partner,not str democrat,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,middle atlantic,middle atlantic,"yes, in relationship",catholic,catholic,,catholic,not very strong,city gt 250000,,$20000 to 22499,38.400002,female,weekly,exclusively male,exclusively male,7323,12 lrgst smsa's,,yes,no,no,no,,,,,,,,,agree,,,,,,,,0,working fulltime,city gt 250000,Woman,Northeast
468,,,,,,,,,70,,every week,yes,0,working class,1928,not used,a great deal,only some,high school,uncertain,uncertain,agree,uncertain,disagree,uncertain,disagree,agree,disagree,uncertain,agree,agree,uncertain,uncertain,agree,strongly agree,disagree,uncertain,disagree,disagree,yes,,12,moderate,moderate,,,excellent,yes covered,not agree/dsagre,dont know,agree,disagree,disagree,not agree/dsagre,disagree,stongly agree,$15000 to 17499,no,no,divorced,,too little,,too little,,,,,no partners,no partners,not str democrat,liberal,agree,agree,agree,agree,agree,agree,agree,not agree/dsagre,agree,yes,7,,,very unlikely,very unlikely,very unlikely,agree,agree,agree,agree,somewhat likely,somewhat likely,somewht unlikely,somewht unlikely,somewht unlikely,not agree/dsagre,agree,disagree,agree,agree,agree,agree,very likely,no,other,middle atlantic,middle atlantic,"no, no relationship",catholic,catholic,,,somewhat strong,city gt 250000,,,63.5,female,not at all,,,7323,12 lrgst smsa's,,no,no,no,no,disagree,disagree,no,agree,not agree/dsagre,not agree/dsagre,vignette d,1,,no,no,somewhat likely,somewhat likely,somewhat likely,somewhat likely,,,retired,city gt 250000,Woman,Northeast
469,,always wrong,,,,,always wrong,,24,,more thn once wk,no,0,lower class,1974,not used,only some,only some,high school,,,,,,,,,,,,,,,,,,,,,,,9,,,no,neither agree nor disagree,excellent,,,,,,,,,,$10000 to 12499,,no,divorced,,about right,,too little,,,,,"1 or more, dk #",,"ind,near dem",slghtly conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,foreign,middle atlantic,"yes, in relationship",moslem/islam,moslem/islam,,,not very strong,"country,nonfarm",,$3 000 to 3 999,39.400002,male,,both male and female,,7323,12 lrgst smsa's,,no,no,no,no,,,,,,,,,strongly agree,,,,,,,,0,working fulltime,city gt 250000,Man,Northeast
470,,,,,,,,,41,,once a month,yes,2,working class,1957,used last time,a great deal,hardly any,high school,disagree,agree,agree,uncertain,agree,agree,disagree,agree,disagree,agree,agree,agree,uncertain,disagree,uncertain,agree,disagree,uncertain,disagree,disagree,yes,,14,fundamentalist,moderate,,,excellent,yes covered,agree,not agree/dsagre,agree,disagree,disagree,disagree,disagree,,$22500 to 24999,no,no,never married,too little,,too little,,,4,0,,2 partners,"1 or more, dk #",independent,liberal,not agree/dsagre,agree,not agree/dsagre,not agree/dsagre,not agree/dsagre,agree,not agree/dsagre,agree,strongly agree,yes,4,,,somewhat likely,mixed,very likely,agree,agree,agree,agree,very likely,mixed,somewht unlikely,mixed,very likely,not agree/dsagre,agree,not agree/dsagre,agree,disagree,agree,not agree/dsagre,somewhat likely,,white,middle atlantic,middle atlantic,"yes, in relationship",protestant,catholic,,,somewhat strong,city gt 250000,,$22500 to 24999,38,female,weekly,exclusively male,exclusively male,7323,12 lrgst smsa's,always,no,no,no,no,agree,disagree,no,not agree/dsagre,agree,stongly agree,vignette c,1,,no,no,mixed,somewhat likely,somewhat likely,somewhat likely,almost all,6,working fulltime,city gt 250000,Woman,Northeast
471,yes,,yes,yes,yes,yes,,yes,62,yes,never,yes,3,middle class,1936,not used,a great deal,a great deal,bachelor,strong disagree,,strongly agree,strong disagree,strong disagree,strong disagree,strong disagree,strong disagree,strong disagree,strongly agree,strongly agree,,strongly agree,disagree,strongly agree,strongly agree,strong disagree,strong disagree,disagree,,no,not agree/dsagre,16,liberal,liberal,,,excellent,yes covered,strongly agree,strong disagree,strong disagree,strong disagree,strong disagree,strong disagree,strong disagree,not agree/dsagre,$50000 to 59999,yes,,widowed,,about right,,too little,dont know,4,0,not agree/dsagre,no partners,1 partner,"ind,near dem",liberal,strong disagree,strong disagree,strong disagree,strongly agree,strongly agree,strongly agree,strongly agree,cant choose,strongly agree,yes,2,,,very unlikely,very unlikely,very likely,strongly agree,strongly agree,strongly agree,strong disagree,mixed,very likely,very unlikely,somewhat likely,very likely,strong disagree,strong disagree,strong disagree,strongly agree,strongly agree,strongly agree,strongly agree,very unlikely,,white,middle atlantic,middle atlantic,"yes, in relationship",none,jewish,,,no religion,city gt 250000,stongly agree,$20000 to 22499,75.900002,female,not at all,,exclusively male,7323,12 lrgst smsa's,sometimes,,,,,disagree,disagree,two or more,stongly agree,strong disagree,strong disagree,vignette f,1,,no,yes,very likely,very likely,very likely,very likely,almost all,10,working parttime,city gt 250000,Woman,Northeast
472,yes,,yes,yes,no,yes,,yes,58,,more thn once wk,yes,1,middle class,1940,,,,graduate,,,,,,,,,,,,,,,,,,,,,,,16,moderate,moderate,yes,,excellent,,,,,,,,,,$60000 to 74999,,yes,never married,about right,,about right,,,0,0,,no partners,no partners,"ind,near dem",conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,foreign,middle atlantic,,catholic,catholic,,,not very strong,town lt 50000,,$60000 to 74999,76.400002,female,not at all,,,7323,12 lrgst smsa's,,yes,no,yes,yes,,,,,,,,,,,,,,,,,0,working fulltime,city gt 250000,Woman,Northeast
473,yes,,yes,yes,yes,yes,,yes,85,yes,never,yes,0,middle class,1913,,only some,a great deal,high school,agree,agree,strongly agree,strong disagree,strong disagree,strong disagree,strong disagree,agree,disagree,strongly agree,strongly agree,agree,uncertain,strong disagree,agree,agree,strong disagree,strong disagree,strong disagree,uncertain,no,stongly agree,15,liberal,liberal,,,fair,yes covered,strong disagree,strongly agree,dont know,dont know,agree,agree,agree,stongly agree,,,,widowed,too little,,too little,,agree,0,0,stongly agree,no partners,no partners,strong democrat,slightly liberal,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,cant choose,yes,dont know,,,dk,dk,dk,cant choose,cant choose,cant choose,cant choose,dont know,dont know,dont know,dont know,dont know,strong disagree,not agree/dsagre,not agree/dsagre,dont know,dont know,dont know,dont know,dont know,no,white,middle atlantic,middle atlantic,,jewish,jewish,,,dk,city gt 250000,agree,,38.400002,female,not at all,,,7323,12 lrgst smsa's,,,,,,disagree,strong disagree,yes immed reltve,not agree/dsagre,strong disagree,strong disagree,vignette e,1,,no,,dont know,dont know,dont know,dont know,,8,retired,city gt 250000,Woman,Northeast
474,yes,not wrong at all,yes,yes,yes,yes,not wrong at all,yes,27,,never,yes,0,middle class,1971,used last time,,,bachelor,,,,,,,,,,,,,,,,,,,,,,,17,liberal,liberal,no,strongly disagree,good,,,,,,,,,,$8 000 to 9 999,,yes,never married,,about right,,too little,,0,7,,1 partner,3 partners,,liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,middle atlantic,middle atlantic,"yes, in relationship",none,none,,no religion,no religion,city gt 250000,,$8 000 to 9 999,37.700001,male,weekly,exclusively female,exclusively female,7323,12 lrgst smsa's,,yes,yes,yes,yes,,,,,,,,,strong disagree,,,,,,,,0,school,city gt 250000,Man,Northeast
